Games,Console,Edition,Developer,Publisher,Year,New,Box,Manual,Genre,
Gran Turismo 3 A-Spec Platinum,Playstation 2,European,Polyphony Digital,Sony Computer Entertainment,2001,No,Yes,Yes,Racing / Simulation,
Gran Turismo 3 A-Spec,Playstation 2,European,Polyphony Digital,Sony Computer Entertainment,2001,No,Yes,Yes,Racing / Simulation,
Gran Turismo 3 Prologue,Playstation 2,European,Polyphony Digital,Sony Computer Entertainment,2003,No,Yes,No,Racing / Simulation,
Formula One 06,Playstation 2,European,SCE Studio,Sony Computer Entertainment,2006,No,Yes,Yes,Racing,
Final Fantasy XII Zodiac Age,Playstation 2,European,Square Enix,Square Enix,2007,No,Yes,Yes,JRPG,
Final Fantasy X-2,Playstation 2,European,Square Enix,Square Enix,2004,No,Yes,Yes,JRPG,
Final Fantasy X,Playstation 2,European,Square Enix,Square Enix,2002,No,Yes,Yes,JRPG,
闘神伝,Playstation,Japanese,Tamsoft,Takara,1995,No,Yes,Yes,Fighting,
鉄拳3,Playstation,Japanese,Namco,Namco,1997,No,Yes,No,Fighting,
遊☆戯☆王 モンスターカプセル ブリード＆バトル,Playstation,Japanese,Konami Computer Entertainment Shinjuku,Konami,1998,No,Yes,Yes,Strategy / Board Game,
牌神,Playstation,Japanese,Aques,Aques,1997,No,Yes,Yes,Board Game / Mahjong,
